package,license,coverage
ForwardDiff,MIT,95.6043956043956
xkbcommon_jll,MIT,67.07317073170732
TableTraits,MIT,93.85474860335195
HTTP,MIT,89.44723618090453
ConstructionBase,MIT,100.0
OrderedCollections,MIT,100.0
InvertedIndices,MIT,93.82022471910112
IrrationalConstants,MIT,98.81656804733728
Wayland_jll,MIT,67.07317073170732
FreeType2_jll,MIT,67.07317073170732
IteratorInterfaceExtensions,MIT,93.85474860335195
Xorg_libxkbfile_jll,MIT,66.80161943319838
JULIA,MIT,89.65517241379311
licensecheck_jll,MIT,67.20647773279352
InfrastructureModels,BSD-3-Clause,47.4120082815735
RelocatableFolders,MIT,93.82022471910112
ColorVectorSpace,MIT,93.82022471910112
DataStructures,MIT,100.0
PowerModels,BSD-3-Clause,66.4756446991404
Compat,MIT,94.02173913043478
Latexify,MIT,98.81656804733728
Calculus,MIT,95.53072625698324
libfdk_aac_jll,MIT,66.80161943319838
Libgcrypt_jll,MIT,67.07317073170732
Graphite2_jll,MIT,67.07317073170732
GR_jll,MIT,67.20647773279352
Measures,MIT,94.02173913043478
LicenseGrabber,MIT,98.81656804733728
RecipesBase,MIT,93.82022471910112
DataFrames,MIT,95.76719576719577
SpecialFunctions,MIT,97.84946236559139
PowerModelsSecurityConstrained,BSD-3-Clause,64.20118343195266
Xorg_libpthread_stubs_jll,MIT,66.53225806451613
Expat_jll,MIT,67.07317073170732
HarfBuzz_jll,MIT,67.07317073170732
Zstd_jll,MIT,67.07317073170732
Adapt,MIT,93.95604395604396
TranscodingStreams,MIT,93.82022471910112
Libglvnd_jll,MIT,67.07317073170732
Showoff,MIT,93.98907103825137
GR,MIT,77.02127659574468
Requires,MIT,93.92265193370166
Xorg_libxcb_jll,MIT,66.80161943319838
Xorg_libXau_jll,MIT,66.80161943319838
LogExpFunctions,MIT,93.15789473684211
Xorg_libXcursor_jll,MIT,66.80161943319838
Opus_jll,MIT,67.07317073170732
PooledArrays,MIT,97.94871794871794
OpenSpecFun_jll,MIT,67.07317073170732
FixedPointNumbers,MIT,93.92265193370166
FriBidi_jll,MIT,67.07317073170732
Cairo_jll,MIT,67.07317073170732
EarCut_jll,MIT,67.20647773279352
Missings,MIT,93.78531073446328
Xorg_libXfixes_jll,MIT,66.80161943319838
LoggingExtras,MIT,93.95604395604396
Formatting,MIT,93.88888888888889
GLFW_jll,MIT,67.07317073170732
JLLWrappers,MIT,100.0
JLLWrappers,MIT,67.07317073170732
JLLWrappers,MIT,67.20647773279352
JLLWrappers,MIT,67.20647773279352
JLLWrappers,MIT,66.93548387096774
CodecZlib,MIT,93.82022471910112
ColorTypes,MIT,93.95604395604396
Xorg_libXrandr_jll,MIT,66.80161943319838
MbedTLS,MIT,60.283687943262414
MbedTLS,Apache-2.0,60.283687943262414
FFMPEG,MIT,100.0
Xorg_xcb_util_renderutil_jll,MIT,66.4
Gettext_jll,MIT,67.07317073170732
GeometryBasics,MIT,100.0
OpenSSL_jll,MIT,67.07317073170732
UnicodeFun,MIT,93.78531073446328
Xorg_libXext_jll,MIT,66.80161943319838
Xorg_xcb_util_keysyms_jll,MIT,66.4
PlotThemes,MIT,93.85474860335195
Contour,MIT,93.92265193370166
PrettyTables,MIT,93.92265193370166
Libiconv_jll,MIT,67.07317073170732
Libffi_jll,MIT,67.07317073170732
LAME_jll,MIT,67.07317073170732
Libgpg_error_jll,MIT,66.80161943319838
URIs,MIT,94.27083333333333
Wayland_protocols_jll,MIT,66.80161943319838
StructArrays,MIT,93.82022471910112
BenchmarkTools,MIT,93.82022471910112
BenchmarkTools,MIT,93.82022471910112
FiniteDiff,MIT,93.78531073446328
SortingAlgorithms,MIT,93.98907103825137
Qt5Base_jll,MIT,67.20647773279352
FFMPEG_jll,MIT,67.20647773279352
ColorSchemes,MIT,71.42857142857143
ColorSchemes,CC0-1.0,71.42857142857143
ColorSchemes,Apache-2.0,71.42857142857143
ColorSchemes,MIT,71.42857142857143
PCRE_jll,MIT,67.07317073170732
Xorg_xtrans_jll,MIT,66.80161943319838
Xorg_xkeyboard_config_jll,MIT,66.53225806451613
Unzip,MIT,98.85714285714286
RecipesPipeline,MIT,100.0
Memento,MIT,91.10512129380054
Memento,MIT,91.10512129380054
PlotUtils,MIT,44.21669106881406
PlotUtils,CC0-1.0,44.21669106881406
PlotUtils,Apache-2.0,44.21669106881406
Xorg_xcb_util_jll,MIT,66.66666666666667
CommonSubexpressions,MIT,93.82022471910112
DataFramesMeta,MIT,95.65217391304348
JSON,MIT,94.73684210526316
Xorg_xcb_util_wm_jll,MIT,66.4
x265_jll,MIT,67.07317073170732
StatsBase,MIT,95.78947368421052
XML2_jll,MIT,67.07317073170732
libass_jll,MIT,67.07317073170732
Plots,MIT,93.82022471910112
Distances,MIT,93.82022471910112
Xorg_libX11_jll,MIT,66.80161943319838
ChangesOfVariables,MIT,94.05405405405405
DocStringExtensions,MIT,93.82022471910112
Preferences,MIT,93.88888888888889
Ogg_jll,MIT,67.07317073170732
NLSolversBase,MIT,93.85474860335195
StaticArrays,MIT,83.5
DataAPI,MIT,93.82022471910112
Libuuid_jll,MIT,67.07317073170732
TensorCore,MIT,100.0
Parsers,MIT,97.67441860465117
XSLT_jll,MIT,67.07317073170732
Xorg_libXinerama_jll,MIT,66.80161943319838
Chain,MIT,98.81656804733728
MathOptInterface,MIT,94.02173913043478
Parameters,MIT,93.85474860335195
Reexport,MIT,93.82022471910112
NaNMath,MIT,93.82022471910112
StaticArraysCore,MIT,98.80952380952381
Xorg_xcb_util_image_jll,MIT,66.4
Fontconfig_jll,MIT,67.07317073170732
Xorg_libXrender_jll,MIT,66.80161943319838
Pixman_jll,MIT,67.07317073170732
JuMP,MPL-2.0,98.47389558232932
JpegTurbo_jll,MIT,67.07317073170732
DiffResults,MIT,93.82022471910112
LineSearches,MIT,34.172661870503596
IterTools,MIT,95.85492227979275
PowerModelsACDC,BSD-3-Clause,98.22222222222223
Xorg_xkbcomp_jll,MIT,66.80161943319838
IniFile,MIT,94.14893617021276
Libtiff_jll,MIT,67.07317073170732
x264_jll,MIT,67.07317073170732
libaom_jll,MIT,67.20647773279352
LaTeXStrings,MIT,100.0
DataValueInterfaces,MIT,93.92265193370166
InverseFunctions,MIT,94.05405405405405
libvorbis_jll,MIT,67.07317073170732
Grisu,MIT,98.84393063583815
LERC_jll,MIT,67.20647773279352
Bzip2_jll,MIT,67.07317073170732
Tables,MIT,98.81656804733728
Scratch,MIT,98.84393063583815
StatsAPI,MIT,93.82022471910112
DiffRules,MIT,93.82022471910112
CodecBzip2,MIT,93.82022471910112
Glib_jll,MIT,67.07317073170732
Crayons,MIT,93.82022471910112
Colors,MIT,95.58011049723757
MacroTools,MIT,93.92265193370166
NLsolve,MIT,94.38202247191012
LicenseCheck,MIT,98.82352941176471
LicenseCheck,MIT,98.82352941176471
libpng_jll,MIT,67.07317073170732
ChainRulesCore,MIT,94.21052631578948
UnPack,MIT,100.0
LZO_jll,MIT,67.07317073170732
Setfield,MIT,93.82022471910112
ArrayInterfaceCore,MIT,98.80952380952381
MutableArithmetics,MPL-2.0,100.0
Xorg_libXi_jll,MIT,66.80161943319838
Xorg_libXdmcp_jll,MIT,66.80161943319838
